Server start at port: 8888
Receive: Efrom client. 丢包率: 0.99975
Receive: Hello Server!from client. 丢包率: 0.92225
Receive: Hello Server!from client. 丢包率: 0.922
Receive: Hello Server!from client. 丢包率: 0.92175
Receive: Hello Server!from client. 丢包率: 0.9215
Receive: Hello Server!from client. 丢包率: 0.92125
Receive: Hello Server!from client. 丢包率: 0.921
Receive: Hello Server!from client. 丢包率: 0.92075
Receive: Hello Server!from client. 丢包率: 0.9205
Receive: Hello Server!from client. 丢包率: 0.92025
Receive: Hello Server!from client. 丢包率: 0.92
Receive: Hello Server!from client. 丢包率: 0.91975
Receive: Hello Server!from client. 丢包率: 0.9195
Receive: Hello Server!from client. 丢包率: 0.91925
Receive: Hello Server!from client. 丢包率: 0.919
Receive: Hello Server!from client. 丢包率: 0.91875
Receive: Hello Server!from client. 丢包率: 0.9185
Receive: Hello Server!from client. 丢包率: 0.91825
Receive: Hello Server!from client. 丢包率: 0.918
Receive: Hello Server!from client. 丢包率: 0.91775
Receive: Hello Server!from client. 丢包率: 0.9175
Receive: Hello Server!from client. 丢包率: 0.91725
Receive: Hello Server!from client. 丢包率: 0.917
Receive: Hello Server!from client. 丢包率: 0.91675
Receive: Hello Server!from client. 丢包率: 0.9165
Receive: Hello Server!from client. 丢包率: 0.91625
Receive: Hello Server!from client. 丢包率: 0.916
Receive: Hello Server!from client. 丢包率: 0.91575
Receive: Hello Server!from client. 丢包率: 0.9155
Receive: Hello Server!from client. 丢包率: 0.91525
Receive: Hello Server!from client. 丢包率: 0.915
Receive: Hello Server!from client. 丢包率: 0.91475
Receive: Hello Server!from client. 丢包率: 0.9145
Receive: Hello Server!from client. 丢包率: 0.91425
Receive: Hello Server!from client. 丢包率: 0.914
Receive: Hello Server!from client. 丢包率: 0.91375
Receive: Hello Server!from client. 丢包率: 0.9135
Receive: Hello Server!from client. 丢包率: 0.91325
Receive: Hello Server!from client. 丢包率: 0.913
Receive: Hello Server!from client. 丢包率: 0.91275
Receive: Hello Server!from client. 丢包率: 0.9125
Receive: Hello Server!from client. 丢包率: 0.91225
